[0725/065037:ERROR:process_info.cc(330)] VirtualQueryEx: Access is denied. (0x5)
[0725/065037:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0725/065037:ERROR:process_info.cc(608)] range at 0xff4c3000, size 0x230 fully unreadable
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\COMDLG32.dll
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73610000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINSPOOL.DRV
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x735e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINNSI.DLL
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x735f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\IPHLPAPI.DLL
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75080000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\Secur32.dll
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x750b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SSPICLI.DLL
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x668a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\DWrite.dll
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75560000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINTRUST.dll
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0xf450000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\58.0.3029.81\chrome_child.dll
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75120000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\cryptbase.dll
[0711/123806.674:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73340000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.674:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\dxva2.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0xf30000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\chrome.exe
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77390000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\SYSTEM32\ntdll.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75450000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\KERNELBASE.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75b70000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\kernel32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x751c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\System32\SYSFER.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75820000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\msvcrt.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x746d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\VERSION.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x69790000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\58.0.3029.81\chrome_elf.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76da0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\RPCRT4.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x774f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\SYSTEM32\sechost.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76bf0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\ADVAPI32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75c50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\PSAPI.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75e40000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USER32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76d00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USP10.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x774e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\LPK.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77000000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\GDI32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75f10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SHLWAPI.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75f70000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SHELL32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73680000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINMM.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x752b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\profapi.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75590000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USERENV.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x71500000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\webio.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x715d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINHTTP.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77510000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\MSCTF.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76bd0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\IMM32.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x70920000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\dbghelp.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x752a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\MSASN1.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x752e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\CRYPT32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76ea0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\ole32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x758d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\OLEAUT32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x69150000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\FireEye\AppMonitorDll_00.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x74750000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\pcwum.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76bc0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\NSI.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75c60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WS2_32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x741e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d\COMCTL32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75970000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\COMDLG32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73610000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINSPOOL.DRV
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x735e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINNSI.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x735f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\IPHLPAPI.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75080000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\Secur32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x750b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SSPICLI.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x668a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\DWrite.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75560000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINTRUST.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0xf450000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\58.0.3029.81\chrome_child.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75120000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\cryptbase.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73340000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\dxva2.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0xf30000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\chrome.exe
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77390000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\SYSTEM32\ntdll.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75450000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\KERNELBASE.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75b70000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\kernel32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x751c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\System32\SYSFER.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75820000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\msvcrt.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x746d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\VERSION.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x69790000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files\Google\Chrome\Application\58.0.3029.81\chrome_elf.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76da0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\RPCRT4.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x774f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\SYSTEM32\sechost.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76bf0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\ADVAPI32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75c50000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\PSAPI.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75e40000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USER32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76d00000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USP10.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x774e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\LPK.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77000000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\GDI32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75f10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SHLWAPI.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75f70000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\SHELL32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73680000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINMM.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x752b0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\profapi.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75590000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\USERENV.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x71500000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\webio.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x715d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINHTTP.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x77510000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\MSCTF.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76bd0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\IMM32.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x70920000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\dbghelp.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x752a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\MSASN1.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x752e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\CRYPT32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76ea0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\ole32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x758d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\OLEAUT32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x69150000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\FireEye\AppMonitorDll_00.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x74750000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\pcwum.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x76bc0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\NSI.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75c60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WS2_32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x741e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\WinSxS\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.18837_none_41e855142bd5705d\COMCTL32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75970000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\COMDLG32.dll
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x73610000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINSPOOL.DRV
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x735e0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\WINNSI.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x735f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0711/123806.861:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Windows\system32\IPHLPAPI.DLL
[0711/123806.861:ERROR:process_reader_win.cc(233)] ReadMemory at 0x75080000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
